url,titulo
https://www.youtube.com/embed/9xcmGh-Zweg,"CNR Mexicali regidor del pan presenta denuncia ante sindicatura en contra de alcaldesa de Mexicali",Mexicali
https://www.youtube.com/embed/-asrNciMrI0,"CNR Mexicali La consulta no aplica a lo que la ciudadanía quiere opinar",Mexicali
https://www.youtube.com/embed/z00GGwWpbVQ,"CNR Rosarito Clima nublado después de los días soleados que se han registrado",Rosarito
https://www.youtube.com/embed/qMHudxij-B0,"CNR Rosarito En la colonia predios urbanos en playas de rosarito se ubican 2 postes a punto de caer",Rosarito
https://www.youtube.com/embed/eHWaNYFFJjw,"CNR Rosarito En calle México de la col constitución denuncian pequeña casa utilizada como picadero",Rosarito
https://www.youtube.com/embed/FDi7d3FG63k,"CNR Rosarito Denuncia contra policías municipales",Rosarito
https://www.youtube.com/embed/4GMIj61cegI,"CNR Tecate A pesar de la pandemia el arte sigue adelante",Tecate
https://www.youtube.com/embed/qZJJNqI465c,"CNR Tecate Falta de mantenimiento en pluviales",Tecate
https://www.youtube.com/embed/sKQeSEXmp0I,"CNR Tecate por fin inicia la transición de poderes",Tecate
https://www.youtube.com/embed/1S4VeL8ZghU,"CNR Mexicali fiscalía estatal busca antropólogo forense para conformar el cuerpo de especialistas",Mexicali
https://www.youtube.com/embed/gNecYjWGYm0,"CNR Mexicali pugna entre bandas criminales, causa principal de asesinatos en la localidad",Mexicali
https://www.youtube.com/embed/BcZiSonb9ms,"CNR Mexicali altas temperaturas de peligro latente para migrantes varados",Mexicali
https://www.youtube.com/embed/au5NgEbqlOs,"CNR Mexicali piden a la población protegerse de las altas temperaturas",Mexicali
https://www.youtube.com/embed/LccnXmqIJFw,"CNR Tijuana Continúa la defensa del parque Benito Juárez",Tijuana
https://www.youtube.com/embed/4sr-tUh5HF4,"CNR Tijuana En ayuda de los que menos tienen",Tijuana
https://www.youtube.com/embed/nXtNEjCkDbM,"CNR Tijuana La Elizabeth es una de las muchas personas que esperan tratamiento",Tijuana
https://www.youtube.com/embed/XntRwSu4seA,"CNR Tijuana Botones de pánico inservibles",Tijuana
https://www.youtube.com/embed/7r8ZglSm8aE,"CNR Tijuana Un proyecto que nunca vio la luz",Tijuana
https://www.youtube.com/embed/7PT-w16guls,"CNR Tijuana Invasión el cerro de las abejas",Tijuana
https://www.youtube.com/embed/B8ShTmYD8fg,"CNR Tijuana Muros de contención a punto de caer",Tijuana
https://www.youtube.com/embed/Tr41C8UvBoc,"CNR Tijuana Guillermo Ruiz tema captura delincuentes narcos",Tijuana
https://www.youtube.com/embed/mJOPHdMV6dA,"CNR Tijuana Precios elevados de gavetas y exhumar",Tijuana
https://www.youtube.com/embed/90e00tC0PFw,"CNR Tijuana puentes de la zona río en la calle misión de la paz se encuentran con las bases dañadas",Tijuana
https://www.youtube.com/embed/P-K4z3W1TgQ,"CNR Rosarito Personas de ensenada visitan playas de rosarito ya que en ensenada están cerradas",Rosarito
https://www.youtube.com/embed/nS-B_kD6W9c,"CNR Rosarito cespt repara fuga de agua tras reporte",Rosarito
https://www.youtube.com/embed/JYwQJmXlVm4,"CNR Rosarito Falta de alcantarilla en calle cárdenas de la colonia predios urbanos",Rosarito
https://www.youtube.com/embed/nhZP1wispGI,"CNR Rosarito julio cesar fundador de cas colitas",Rosarito
https://www.youtube.com/embed/y1AvqTQKyOQ,"CNR Tecate a pesar de supuesta inversión millonaria parque luce destrozado",Tecate
https://www.youtube.com/embed/OEOu7J73QTw,"CNR Tecate agrupación internacional da mantenimiento al parque los encinos",Tecate
https://www.youtube.com/embed/QkzJtDlX8D8,"CNR Tecate continúan los incendios forestales",Tecate
https://www.youtube.com/embed/ZT9oLxW4VBk,"CNR Tecate continúan los apagones en el pueblo mágico",Tecate
https://www.youtube.com/embed/gsQQMJfSPQg,"CNR Ensenada denuncia ciudadana del alumbrado público",Ensenada
https://www.youtube.com/embed/8QfC7cRo6y0,"CNR Ensenada se encuentra en lo que antes era el puente reforma",Ensenada
https://www.youtube.com/embed/qvIdoqsRrxY,"CNR Mexicali Aumentó un 68 por ciento el índice de accidentes automovilísticos en Mexicali",Mexicali
https://www.youtube.com/embed/_unkOFfAsPY,"CNR Mexicali Prepara gobierno del estado un proyecto de un refugio para menores migrantes",Mexicali
https://www.youtube.com/embed/t9iQS-5Luas,"CNR Mexicali En espera del dictamen automotriz del autobús que se volcó en playas de rosarito",Mexicali
https://www.youtube.com/embed/FEAVcEVyo8A,"CNR Mexicali Entregó la autoridad municipal licencias ambientales a restaurante de comunidad china",Mexicali
https://www.youtube.com/embed/b-M-0NNd0eQ,"CNR Mexicali Se están clausurando las casetas en fraccionamientos de cualquier tipo",Mexicali
https://www.youtube.com/embed/Rgdt2ymmzMQ,"CNR Tijuana instintos líderes de sobre ruedas levantaron la voz ante el secretario de salud",Tijuana
https://www.youtube.com/embed/7R8c6ZInmM0,"CNR Tijuana Inmensas filas para cruzar a la unión americana",Tijuana
https://www.youtube.com/embed/4m5lheqgI8c,"CNR Tijuana Canchas deportivas abandonadas",Tijuana
https://www.youtube.com/embed/VU0fkM9RqbM,"CNR Tijuana Baños y sanitarios para los migrantes",Tijuana
https://www.youtube.com/embed/QgtgWTH_fRA,"CNR Tijuana la calle baja california se encuentra llena de basura en banquetas",Tijuana
https://www.youtube.com/embed/vp50Oyjlcq0,"CNR Tijuana vía rápida se encuentra llena de clavos y basura",Tijuana
https://www.youtube.com/embed/zpZ5PYDXGv4,"CNR Tijuana En avenida Venustiano Carranza se encuentra un tubo de drenaje sobre la misma vialidad",Tijuana
https://www.youtube.com/embed/sQf9y0UzifY,"CNR Tijuana Municipio deja puente peatonal inconcluso",Tijuana
https://www.youtube.com/embed/B5RD6nk2jWI,"CNR Tijuana En calle 5 de mayo comercio tira las aguas sucias sobre las calles y comida, salsas",Tijuana
https://www.youtube.com/embed/ImYRjq88DjM,"CNR Tijuana Altas temperaturas para la municipalidad de Tijuana",Tijuana
https://www.youtube.com/embed/oOGn2t9TgJQ,"CNR Rosarito Denuncia contra taxista verde",Rosarito
https://www.youtube.com/embed/PxhsvxzMGC8,"CNR Rosarito sanciones contra vendedores golondrinos",Rosarito
https://www.youtube.com/embed/mf6Z9XW9_zM,"CNR Rosarito Basurero clandestino A un costado de la carretera escénica Tijuana-Ensenada",Rosarito
https://www.youtube.com/embed/brUlOXk0Xi4,"CNR Tijuana Sucio descuidado y abandonado así luce el malecón de Playas de Tijuana",Tijuana
https://www.youtube.com/embed/cihVnIY19Ys,"CNR Tijuana calle triunfo se encuentra una obra inconclusa",Tijuana
https://www.youtube.com/embed/vJZoy47urKQ,"CNR Tijuana calle puerto san Felipe se encuentra con aperturas en el puro medio de la calle",Tijuana
https://www.youtube.com/embed/OsT03Z7Hxq8,"CNR Tijuana áreas verdes siguen siendo tomadas por las personas que pernotan en la ciudad",Tijuana
https://www.youtube.com/embed/gQguma84sEk,"CNR Tijuana Sin mantenimiento sistema de alcantarillado de la zona centro",Tijuana
https://www.youtube.com/embed/yuJ-2dgtLn8,"CNR Tijuana Reparación de vialidades genera caos vial",Tijuana
https://www.youtube.com/embed/Kq9g7-ndwt0,"CNR Tijuana Muy cercano a la delegación del cerro colorado se encuentra otra vialidad hecha pedazos",Tijuana
